,Tweets
133,"'38 Pergantian pemain:

⬆️ Wawan Febrianto
⬇️ Riyan Ardiyansyah 

#PSISDAY"
134,"'35 Dewa United gol. 1-0

#PSISDAY"
135,"'29 Sodoran Andreas hasil umpan dari Ucil masih mampu diamankan kiper Dewa United.

#PSISDAY"
136,"'28 SAVE! Redondo amankan tendangan kaki kiri Sugeng Efendi.

#PSISDAY"
137,"Kick-off babak pertama! ⚡️⚽️

#PSISDAY"
138,"Sesaat lagi di lanjutan BRI Liga 1 2022/23, PSIS akan perjuangkan poin penuh di kandang Dewa United. Kirim doa dan… https://t.co/Zp4PqrpdKZ"
139,"Bersinarlah hari ini, ayo kita bisa 𝐒𝐄𝐌𝐀𝐑𝐀𝐍𝐆 ⚡️🔵

#PSISDAY | @kukubimaenergi https://t.co/NMkpdu0OoC"
140,"⚔️Mereka yang berjuang dari menit awal hari ini.

#PSISDAY https://t.co/91LAXiwnRb"
141,"📄Prediksi starting eleven? 

#PSISDAY"
142,"📍Indomilk Arena, Tangerang.

#PSISDAY https://t.co/uG0vBSibTx"
143,"Tuntaskan rasa penasaran, semoga dilancarkan tiga poin perdana di laga tandang. YOH ISO YOH!! 🔵🔵

#PSISDAY https://t.co/9UQT3AwHX0"
144,#PSISDAY bismillah dinone tenan. 🤲🏼💙
145,Our last prep. Yoh iso yoh!! 💪🏼🔵 https://t.co/4a31zfBLtv
146,"🔵TEAM NEWS🔵

📰Misi rebut 3 poin perdana di laga tandang

https://t.co/dWcjEZ64Vp"
147,"Misi wajib menang, bawa pulang tiga poin dari rumah Dewa United. ⚔️⚡️

𝐂𝐨𝐦𝐞 𝐨𝐧 𝐲𝐨𝐮 𝐋𝐚𝐬𝐤𝐚𝐫 𝐌𝐚𝐡𝐞𝐬𝐚 𝐉𝐞𝐧𝐚𝐫 🔵🔵

#PSIS |… https://t.co/kPESSzuBLA"
